0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,language
t,h,e,.,.,.,.,.,.,.,.,.,.,.,.,.,english
o,f,.,.,.,.,.,.,.,.,.,.,.,.,.,.,english
a,n,d,.,.,.,.,.,.,.,.,.,.,.,.,.,english
t,o,.,.,.,.,.,.,.,.,.,.,.,.,.,.,english
i,n,.,.,.,.,.,.,.,.,.,.,.,.,.,.,english
i,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,english
t,h,a,t,.,.,.,.,.,.,.,.,.,.,.,.,english
w,a,s,.,.,.,.,.,.,.,.,.,.,.,.,.,english
h,i,s,.,.,.,.,.,.,.,.,.,.,.,.,.,english
h,e,.,.,.,.,.,.,.,.,.,.,.,.,.,.,english
i,t,.,.,.,.,.,.,.,.,.,.,.,.,.,.,english
w,i,t,h,.,.,.,.,.,.,.,.,.,.,.,.,english
i,s,.,.,.,.,.,.,.,.,.,.,.,.,.,.,english
f,o,r,.,.,.,.,.,.,.,.,.,.,.,.,.,english
a,s,.,.,.,.,.,.,.,.,.,.,.,.,.,.,english
h,a,d,.,.,.,.,.,.,.,.,.,.,.,.,.,english
y,o,u,.,.,.,.,.,.,.,.,.,.,.,.,.,english
n,o,t,.,.,.,.,.,.,.,.,.,.,.,.,.,english
b,e,.,.,.,.,.,.,.,.,.,.,.,.,.,.,english
h,e,r,.,.,.,.,.,.,.,.,.,.,.,.,.,english
o,n,.,.,.,.,.,.,.,.,.,.,.,.,.,.,english
a,t,.,.,.,.,.,.,.,.,.,.,.,.,.,.,english
b,y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,english
w,h,i,c,h,.,.,.,.,.,.,.,.,.,.,.,english
h,a,v,e,.,.,.,.,.,.,.,.,.,.,.,.,english
o,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,english
f,r,o,m,.,.,.,.,.,.,.,.,.,.,.,.,english
t,h,i,s,.,.,.,.,.,.,.,.,.,.,.,.,english
h,i,m,.,.,.,.,.,.,.,.,.,.,.,.,.,english
b,u,t,.,.,.,.,.,.,.,.,.,.,.,.,.,english
a,l,l,.,.,.,.,.,.,.,.,.,.,.,.,.,english
s,h,e,.,.,.,.,.,.,.,.,.,.,.,.,.,english
t,h,e,y,.,.,.,.,.,.,.,.,.,.,.,.,english
w,e,r,e,.,.,.,.,.,.,.,.,.,.,.,.,english
m,y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,english
a,r,e,.,.,.,.,.,.,.,.,.,.,.,.,.,english
m,e,.,.,.,.,.,.,.,.,.,.,.,.,.,.,english
o,n,e,.,.,.,.,.,.,.,.,.,.,.,.,.,english
t,h,e,i,r,.,.,.,.,.,.,.,.,.,.,.,english
s,o,.,.,.,.,.,.,.,.,.,.,.,.,.,.,english
a,n,.,.,.,.,.,.,.,.,.,.,.,.,.,.,english
s,a,i,d,.,.,.,.,.,.,.,.,.,.,.,.,english
t,h,e,m,.,.,.,.,.,.,.,.,.,.,.,.,english
w,e,.,.,.,.,.,.,.,.,.,.,.,.,.,.,english
w,h,o,.,.,.,.,.,.,.,.,.,.,.,.,.,english
w,o,u,l,d,.,.,.,.,.,.,.,.,.,.,.,english
b,e,e,n,.,.,.,.,.,.,.,.,.,.,.,.,english
w,i,l,l,.,.,.,.,.,.,.,.,.,.,.,.,english
n,o,.,.,.,.,.,.,.,.,.,.,.,.,.,.,english
w,h,e,n,.,.,.,.,.,.,.,.,.,.,.,.,english
t,h,e,r,e,.,.,.,.,.,.,.,.,.,.,.,english
i,f,.,.,.,.,.,.,.,.,.,.,.,.,.,.,english
m,o,r,e,.,.,.,.,.,.,.,.,.,.,.,.,english
o,u,t,.,.,.,.,.,.,.,.,.,.,.,.,.,english
u,p,.,.,.,.,.,.,.,.,.,.,.,.,.,.,english
i,n,t,o,.,.,.,.,.,.,.,.,.,.,.,.,english
d,o,.,.,.,.,.,.,.,.,.,.,.,.,.,.,english
a,n,y,.,.,.,.,.,.,.,.,.,.,.,.,.,english
y,o,u,r,.,.,.,.,.,.,.,.,.,.,.,.,english
w,h,a,t,.,.,.,.,.,.,.,.,.,.,.,.,english
h,a,s,.,.,.,.,.,.,.,.,.,.,.,.,.,english
m,a,n,.,.,.,.,.,.,.,.,.,.,.,.,.,english
c,o,u,l,d,.,.,.,.,.,.,.,.,.,.,.,english
o,t,h,e,r,.,.,.,.,.,.,.,.,.,.,.,english
t,h,a,n,.,.,.,.,.,.,.,.,.,.,.,.,english
o,u,r,.,.,.,.,.,.,.,.,.,.,.,.,.,english
s,o,m,e,.,.,.,.,.,.,.,.,.,.,.,.,english
v,e,r,y,.,.,.,.,.,.,.,.,.,.,.,.,english
t,i,m,e,.,.,.,.,.,.,.,.,.,.,.,.,english
u,p,o,n,.,.,.,.,.,.,.,.,.,.,.,.,english
a,b,o,u,t,.,.,.,.,.,.,.,.,.,.,.,english
m,a,y,.,.,.,.,.,.,.,.,.,.,.,.,.,english
i,t,s,.,.,.,.,.,.,.,.,.,.,.,.,.,english
o,n,l,y,.,.,.,.,.,.,.,.,.,.,.,.,english
n,o,w,.,.,.,.,.,.,.,.,.,.,.,.,.,english
l,i,k,e,.,.,.,.,.,.,.,.,.,.,.,.,english
l,i,t,t,l,e,.,.,.,.,.,.,.,.,.,.,english
t,h,e,n,.,.,.,.,.,.,.,.,.,.,.,.,english
c,a,n,.,.,.,.,.,.,.,.,.,.,.,.,.,english
s,h,o,u,l,d,.,.,.,.,.,.,.,.,.,.,english
m,a,d,e,.,.,.,.,.,.,.,.,.,.,.,.,english
d,i,d,.,.,.,.,.,.,.,.,.,.,.,.,.,english
u,s,.,.,.,.,.,.,.,.,.,.,.,.,.,.,english
s,u,c,h,.,.,.,.,.,.,.,.,.,.,.,.,english
a,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,english
g,r,e,a,t,.,.,.,.,.,.,.,.,.,.,.,english
b,e,f,o,r,e,.,.,.,.,.,.,.,.,.,.,english
m,u,s,t,.,.,.,.,.,.,.,.,.,.,.,.,english
t,w,o,.,.,.,.,.,.,.,.,.,.,.,.,.,english
t,h,e,s,e,.,.,.,.,.,.,.,.,.,.,.,english
s,e,e,.,.,.,.,.,.,.,.,.,.,.,.,.,english
k,n,o,w,.,.,.,.,.,.,.,.,.,.,.,.,english
o,v,e,r,.,.,.,.,.,.,.,.,.,.,.,.,english
m,u,c,h,.,.,.,.,.,.,.,.,.,.,.,.,english
d,o,w,n,.,.,.,.,.,.,.,.,.,.,.,.,english
a,f,t,e,r,.,.,.,.,.,.,.,.,.,.,.,english
f,i,r,s,t,.,.,.,.,.,.,.,.,.,.,.,english
m,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,english
g,o,o,d,.,.,.,.,.,.,.,.,.,.,.,.,english
m,e,n,.,.,.,.,.,.,.,.,.,.,.,.,.,english
o,w,n,.,.,.,.,.,.,.,.,.,.,.,.,.,english
n,e,v,e,r,.,.,.,.,.,.,.,.,.,.,.,english
m,o,s,t,.,.,.,.,.,.,.,.,.,.,.,.,english
o,l,d,.,.,.,.,.,.,.,.,.,.,.,.,.,english
s,h,a,l,l,.,.,.,.,.,.,.,.,.,.,.,english
d,a,y,.,.,.,.,.,.,.,.,.,.,.,.,.,english
w,h,e,r,e,.,.,.,.,.,.,.,.,.,.,.,english
t,h,o,s,e,.,.,.,.,.,.,.,.,.,.,.,english
c,a,m,e,.,.,.,.,.,.,.,.,.,.,.,.,english
c,o,m,e,.,.,.,.,.,.,.,.,.,.,.,.,english
h,i,m,s,e,l,f,.,.,.,.,.,.,.,.,.,english
w,a,y,.,.,.,.,.,.,.,.,.,.,.,.,.,english
w,o,r,k,.,.,.,.,.,.,.,.,.,.,.,.,english
l,i,f,e,.,.,.,.,.,.,.,.,.,.,.,.,english
w,i,t,h,o,u,t,.,.,.,.,.,.,.,.,.,english
g,o,.,.,.,.,.,.,.,.,.,.,.,.,.,.,english
m,a,k,e,.,.,.,.,.,.,.,.,.,.,.,.,english
w,e,l,l,.,.,.,.,.,.,.,.,.,.,.,.,english
t,h,r,o,u,g,h,.,.,.,.,.,.,.,.,.,english
b,e,i,n,g,.,.,.,.,.,.,.,.,.,.,.,english
l,o,n,g,.,.,.,.,.,.,.,.,.,.,.,.,english
s,a,y,.,.,.,.,.,.,.,.,.,.,.,.,.,english
m,i,g,h,t,.,.,.,.,.,.,.,.,.,.,.,english
h,o,w,.,.,.,.,.,.,.,.,.,.,.,.,.,english
a,m,.,.,.,.,.,.,.,.,.,.,.,.,.,.,english
t,o,o,.,.,.,.,.,.,.,.,.,.,.,.,.,english
e,v,e,n,.,.,.,.,.,.,.,.,.,.,.,.,english
d,e,f,.,.,.,.,.,.,.,.,.,.,.,.,.,english
a,g,a,i,n,.,.,.,.,.,.,.,.,.,.,.,english
m,a,n,y,.,.,.,.,.,.,.,.,.,.,.,.,english
b,a,c,k,.,.,.,.,.,.,.,.,.,.,.,.,english
h,e,r,e,.,.,.,.,.,.,.,.,.,.,.,.,english
t,h,i,n,k,.,.,.,.,.,.,.,.,.,.,.,english
e,v,e,r,y,.,.,.,.,.,.,.,.,.,.,.,english
p,e,o,p,l,e,.,.,.,.,.,.,.,.,.,.,english
w,e,n,t,.,.,.,.,.,.,.,.,.,.,.,.,english
s,a,m,e,.,.,.,.,.,.,.,.,.,.,.,.,english
l,a,s,t,.,.,.,.,.,.,.,.,.,.,.,.,english
t,h,o,u,g,h,t,.,.,.,.,.,.,.,.,.,english
a,w,a,y,.,.,.,.,.,.,.,.,.,.,.,.,english
u,n,d,e,r,.,.,.,.,.,.,.,.,.,.,.,english
t,a,k,e,.,.,.,.,.,.,.,.,.,.,.,.,english
f,o,u,n,d,.,.,.,.,.,.,.,.,.,.,.,english
h,a,n,d,.,.,.,.,.,.,.,.,.,.,.,.,english
e,y,e,s,.,.,.,.,.,.,.,.,.,.,.,.,english
s,t,i,l,l,.,.,.,.,.,.,.,.,.,.,.,english
p,l,a,c,e,.,.,.,.,.,.,.,.,.,.,.,english
w,h,i,l,e,.,.,.,.,.,.,.,.,.,.,.,english
j,u,s,t,.,.,.,.,.,.,.,.,.,.,.,.,english
a,l,s,o,.,.,.,.,.,.,.,.,.,.,.,.,english
y,o,u,n,g,.,.,.,.,.,.,.,.,.,.,.,english
y,e,t,.,.,.,.,.,.,.,.,.,.,.,.,.,english
t,h,o,u,g,h,.,.,.,.,.,.,.,.,.,.,english
a,g,a,i,n,s,t,.,.,.,.,.,.,.,.,.,english
t,h,i,n,g,s,.,.,.,.,.,.,.,.,.,.,english
g,e,t,.,.,.,.,.,.,.,.,.,.,.,.,.,english
e,v,e,r,.,.,.,.,.,.,.,.,.,.,.,.,english
g,i,v,e,.,.,.,.,.,.,.,.,.,.,.,.,english
